id,price,number_of_reviews,review_scores_rating
958,170,160,97
5858,235,112,98
7918,65,17,85
8142,65,8,93
8339,785,27,97
8567,255,31,90
8739,139,614,98
9225,135,427,93
10251,265,302,95
10578,120,18,99
10819,218,22,88
10820,177,36,89
10824,194,14,91
10832,139,18,91
12041,85,6,80
12042,85,5,64
12522,79,375,98
12584,146,15,94
14125,215,94,98
16551,65,7,95
17132,450,14,96
18231,107,59,96
18904,110,339,97
19040,198,225,96
21334,150,114,98
21914,65,14,78
23540,225,101,97
23611,100,227,98
23630,155,332,97
23680,199,24,99
24390,95,64,96
24450,199,203,92
24463,155,259,97
24723,195,259,95
25094,150,23,100
25168,125,16,100
25463,110,380,98
25662,125,288,95
25927,110,66,92
26488,NA,48,97
27025,175,129,100
27028,199,24,96
32027,325,2,90
32414,150,93,96
33577,230,596,99
33578,230,548,99
38607,119,186,96
39174,107,20,96
39418,100,21,98
40092,131,95,92
41055,159,38,94
41172,129,210,98
41399,290,70,96
41423,126,146,89
41609,170,13,98
42403,85,6,93
42408,85,4,87
42454,93,9,89
42577,150,2,80
43732,120,5,88
43778,120,8,56
44032,95,279,97
44680,175,3,100
45299,116,112,93
45956,125,66,95
47486,78,28,97
47682,120,25,96
51073,180,144,99
51557,119,104,98
51773,55,158,92
52713,99,166,89
53280,90,117,97
54518,240,16,88
54634,115,35,92
55632,110,10,94
55636,106,26,95
56200,132,266,98
56621,63,120,92
57479,450,152,99
57561,175,212,92
57676,99,99,95
59314,225,126,97
59344,135,277,98
59381,109,207,96
59702,150,181,98
59831,100,1,20
60659,150,185,98
62519,92,35,97
62651,NA,50,96
63247,166,275,92
63405,125,198,93
64165,90,64,99
66119,100,95,83
66188,216,12,96
68239,326,35,99
69410,80,50,98
69549,46,39,91
69553,44,26,82
69681,170,7,93
70139,108,10,98
70284,30,12,92
70753,45,323,92
71645,109,95,98
71779,80,2,60
72365,100,64,89
72444,38,324,94
72921,110,49,89
73011,270,30,99
74451,125,17,96
74758,40,33,86
75422,35,9,100
75423,40,32,93
77175,135,253,98
77932,49,20,80
78651,75,65,96
80394,140,10,98
81158,83,12,92
81256,40,19,78
81535,250,14,97
82919,115,359,92
83257,90,77,97
83553,85,6,100
84777,85,203,94
